Total Duration(Minutes),Device Active Duration(Minutes),Device Idle Duration(Minutes),Average Active Duration(Minutes),Average Idle Duration(Minutes),Start_Date,End_Date
1381 ,331 ,1050 ,165 ,525 ,2024-05-02 00:00:00 ,2024-05-03 23:59:59 
2255 ,692 ,1562 ,346 ,781 ,2024-05-03 00:00:00 ,2024-05-04 23:59:59 
2351 ,456 ,1895 ,228 ,947 ,2024-05-04 00:00:00 ,2024-05-05 23:59:59 
2383 ,435 ,1947 ,217 ,973 ,2024-05-05 00:00:00 ,2024-05-06 23:59:59 
2395 ,306 ,2089 ,153 ,1044 ,2024-05-06 00:00:00 ,2024-05-07 23:59:59 
2282 ,270 ,2011 ,135 ,1005 ,2024-05-07 00:00:00 ,2024-05-08 23:59:59 
2398 ,0 ,2397 ,0 ,1198 ,2024-05-08 00:00:00 ,2024-05-09 23:59:59 
2379 ,457 ,1921 ,228 ,960 ,2024-05-09 00:00:00 ,2024-05-10 23:59:59 
2440 ,689 ,1750 ,344 ,875 ,2024-05-10 00:00:00 ,2024-05-11 23:59:59 
2460 ,604 ,1856 ,302 ,928 ,2024-05-11 00:00:00 ,2024-05-12 23:59:59 
2125 ,254 ,1870 ,127 ,935 ,2024-05-12 00:00:00 ,2024-05-13 23:59:59 
