Battery Level,Time Difference (hours)
100,45.68972222222222
99,45.43944444444445
99,45.18944444444445
97,44.93944444444445
96,44.68944444444445
95,44.43944444444445
95,44.18944444444445
95,43.87972222222222
95,43.42722222222222
95,43.15277777777778
95,42.01777777777778
94,40.009166666666665
94,39.71472222222222
94,36.0
93,35.63166666666667
93,35.381388888888885
93,32.81472222222222
91,32.56472222222222
89,32.31472222222222
88,32.06472222222222
86,31.814444444444444
85,31.564444444444444
83,31.314444444444444
82,31.064444444444444
82,30.814444444444444
80,30.564444444444444
79,30.314444444444444
77,30.064444444444444
76,29.814444444444444
75,29.564444444444444
74,29.314166666666665
73,29.064166666666665
72,28.814166666666665
70,28.564166666666665
70,28.314166666666665
70,28.064166666666665
69,27.814166666666665
69,27.564166666666665
69,27.314166666666665
69,27.064166666666665
69,26.814166666666665
69,26.56388888888889
69,26.31388888888889
69,26.06388888888889
69,25.81388888888889
69,25.56388888888889
69,25.31388888888889
69,25.06388888888889
69,24.81388888888889
68,24.56388888888889
67,24.31388888888889
66,24.06388888888889
64,23.81388888888889
62,23.56388888888889
60,23.31361111111111
58,23.06361111111111
57,22.81361111111111
56,22.56361111111111
54,22.31361111111111
52,22.06361111111111
52,21.81361111111111
52,21.56361111111111
52,21.31361111111111
52,21.06361111111111
52,20.813333333333333
52,20.563333333333333
51,20.313333333333333
50,20.063333333333333
48,19.813333333333333
47,19.563333333333333
45,19.313333333333333
44,19.063333333333333
42,18.813333333333333
42,18.563333333333333
40,18.313055555555554
38,18.063055555555554
37,17.813055555555554
36,17.72277777777778
36,17.72222222222222
36,17.721666666666668
36,17.72111111111111
36,17.720277777777778
36,17.70916666666667
36,17.70861111111111
36,17.34611111111111
36,17.07777777777778
36,16.751666666666665
36,16.50138888888889
36,16.25138888888889
36,16.00138888888889
36,15.751388888888888
36,15.501388888888888
36,15.251388888888888
36,15.001388888888888
36,14.751388888888888
36,14.501388888888888
36,14.251388888888888
36,14.001388888888888
36,13.751111111111111
36,13.501111111111111
36,13.251111111111111
36,13.001111111111111
36,12.751111111111111
36,12.501111111111111
36,12.251111111111111
36,12.001111111111111
36,11.751111111111111
36,11.501111111111111
36,11.251111111111111
36,11.001111111111111
36,10.751111111111111
36,10.501111111111111
36,10.250833333333333
36,10.000833333333333
35,9.750833333333333
35,9.500833333333333
35,9.250833333333333
35,9.000833333333333
35,8.750833333333333
35,8.500833333333333
35,8.250833333333333
35,8.000833333333333
35,7.7508333333333335
34,7.500555555555556
33,7.250555555555556
33,7.000555555555556
33,6.750555555555556
33,6.500555555555556
33,6.250555555555556
33,6.000555555555556
33,5.750555555555556
33,5.500555555555556
33,5.250555555555556
32,5.000555555555556
32,4.750277777777778
32,4.500277777777778
32,4.250277777777778
32,4.000277777777778
32,3.750277777777778
32,3.500277777777778
32,3.250277777777778
32,3.000277777777778
31,2.750277777777778
31,2.5
31,2.25
31,2.0
31,1.75
31,1.5
31,1.25
31,1.0
31,0.75
31,0.5
30,0.25
30,0.0
